Keycode,period,orgunitlevel2,orgunitlevel3,dhis_organisationunitid,dhis_organisationunitname,datim_organisationunitid,datim_organisationunitname,dataelement,value
200499,2022Q3,Manica,Cidade de Chimoio,ZPCgEihjMiy,CS 1 Âº de Maio,l7dBO27dhA6,1º Maio CS,ECHO_PREP_CT_20_24_FEMININO,7.0
200517,2022Q3,Manica,Sussundenga,hzMMspjctBN,CS Sussundenga-Sede,RovRnV9RWFd,Sussundenga CS,ECHO_PREP_CT_20_24_FEMININO,2.0
200549,2022Q3,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,ECHO_PREP_CT_25_29_FEMININO,8.0
200521,2022Q3,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,ECHO_PREP_CT_25_29_FEMININO,2.0
200936,2022Q3,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,ECHO_PREP_CT_25_29_FEMININO,54.0
200524,2022Q3,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,ECHO_PREP_CT_25_29_FEMININO,
200552,2022Q3,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,ECHO_PREP_CT_25_29_FEMININO,17.0
200532,2022Q3,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,ECHO_PREP_CT_25_29_FEMININO,3.0
200536,2022Q3,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,ECHO_PREP_CT_25_29_FEMININO,12.0
200557,2022Q3,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,ECHO_PREP_CT_25_29_FEMININO,0.0
200566,2022Q3,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,ECHO_PREP_CT_25_29_FEMININO,3.0
200939,2022Q3,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,ECHO_PREP_CT_25_29_FEMININO,85.0
200528,2022Q3,Manica,Manica,XUfVdKbiMwL,CS Messica,gVZ58EQOH6K,Messica CS,ECHO_PREP_CT_25_29_FEMININO,11.0
200563,2022Q3,Manica,Manica,hPqiPGsEYv5,CS Machipanda,RiIZqF2hfqY,Machipanda CS,ECHO_PREP_CT_25_29_FEMININO,5.0
200938,2022Q3,Manica,Manica,lT5Qs9ETV9s,HD Manica,KjMGcLd3XXd,Manica HD,ECHO_PREP_CT_25_29_FEMININO,20.0
338288,2022Q3,Manica,Manica,rfn0xX7liVL,CS 4Âº Congresso,DAcTRfO0CNG,4º Congresso CS,ECHO_PREP_CT_25_29_FEMININO,4.0
200500,2022Q3,Manica,Gondola,JlUMz2rDy1g,CS Inchope,bifefa8JnfN,Inchope CS,ECHO_PREP_CT_25_29_FEMININO,100.0
200937,2022Q3,Manica,Gondola,pELuhX7Rgup,CS Gondola Sede,awoAlwC06Go,Gondola Sede CS,ECHO_PREP_CT_25_29_FEMININO,6.0
200527,2022Q3,Manica,Gondola,L7TkArEzSdW,CS Amatongas,e2cMNKCnHOw,Amatongas CS,ECHO_PREP_CT_25_29_FEMININO,11.0
200502,2022Q3,Manica,Gondola,UzFYRpkVqN2,CS Muda SerraÃ§Ã£o,xfxtwRZ7Ejp,Muda Serração CS,ECHO_PREP_CT_25_29_FEMININO,1.0
200531,2022Q3,Manica,Cidade de Chimoio,g9AT6oQ6Uoi,CS Nhamaonha,UBe2SLdSmxV,Nhamaonha CS,ECHO_PREP_CT_25_29_FEMININO,2.0
398330,2022Q3,Manica,Cidade de Chimoio,lR0tDnUzHdB,CS Vila Nova,KxEa3dXzAYv,Vila Nova CS,ECHO_PREP_CT_25_29_FEMININO,7.0
200522,2022Q3,Manica,Cidade de Chimoio,aUtB6n9lhl4,CS Chissui,IJwB2CRmy7D,Chissui CS,ECHO_PREP_CT_25_29_FEMININO,
201696,2022Q3,Manica,Cidade de Chimoio,SKLMPC7qDwD,CS 7 de Abril,DfdvXXyNSoV,7 de Abril CS,ECHO_PREP_CT_25_29_FEMININO,16.0
200525,2022Q3,Manica,Cidade de Chimoio,nT0RSdagl3c,CS Eduardo Mondlane,rlAmYWNUTnR,Eduardo Mondlane CS,ECHO_PREP_CT_25_29_FEMININO,5.0
200499,2022Q3,Manica,Cidade de Chimoio,ZPCgEihjMiy,CS 1 Âº de Maio,l7dBO27dhA6,1º Maio CS,ECHO_PREP_CT_25_29_FEMININO,12.0
200517,2022Q3,Manica,Sussundenga,hzMMspjctBN,CS Sussundenga-Sede,RovRnV9RWFd,Sussundenga CS,ECHO_PREP_CT_25_29_FEMININO,
200549,2022Q3,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,ECHO_PREP_CT_30_34_FEMININO,4.0
200521,2022Q3,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,ECHO_PREP_CT_30_34_FEMININO,0.0
200936,2022Q3,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,ECHO_PREP_CT_30_34_FEMININO,25.0
200524,2022Q3,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,ECHO_PREP_CT_30_34_FEMININO,1.0
200552,2022Q3,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,ECHO_PREP_CT_30_34_FEMININO,12.0
200532,2022Q3,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,ECHO_PREP_CT_30_34_FEMININO,1.0
200536,2022Q3,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,ECHO_PREP_CT_30_34_FEMININO,5.0
200557,2022Q3,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,ECHO_PREP_CT_30_34_FEMININO,0.0
200566,2022Q3,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,ECHO_PREP_CT_30_34_FEMININO,4.0
200939,2022Q3,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,ECHO_PREP_CT_30_34_FEMININO,26.0
200528,2022Q3,Manica,Manica,XUfVdKbiMwL,CS Messica,gVZ58EQOH6K,Messica CS,ECHO_PREP_CT_30_34_FEMININO,8.0
200563,2022Q3,Manica,Manica,hPqiPGsEYv5,CS Machipanda,RiIZqF2hfqY,Machipanda CS,ECHO_PREP_CT_30_34_FEMININO,3.0
200938,2022Q3,Manica,Manica,lT5Qs9ETV9s,HD Manica,KjMGcLd3XXd,Manica HD,ECHO_PREP_CT_30_34_FEMININO,13.0
338288,2022Q3,Manica,Manica,rfn0xX7liVL,CS 4Âº Congresso,DAcTRfO0CNG,4º Congresso CS,ECHO_PREP_CT_30_34_FEMININO,1.0
200500,2022Q3,Manica,Gondola,JlUMz2rDy1g,CS Inchope,bifefa8JnfN,Inchope CS,ECHO_PREP_CT_30_34_FEMININO,59.0
200937,2022Q3,Manica,Gondola,pELuhX7Rgup,CS Gondola Sede,awoAlwC06Go,Gondola Sede CS,ECHO_PREP_CT_30_34_FEMININO,7.0
200527,2022Q3,Manica,Gondola,L7TkArEzSdW,CS Amatongas,e2cMNKCnHOw,Amatongas CS,ECHO_PREP_CT_30_34_FEMININO,8.0
200502,2022Q3,Manica,Gondola,UzFYRpkVqN2,CS Muda SerraÃ§Ã£o,xfxtwRZ7Ejp,Muda Serração CS,ECHO_PREP_CT_30_34_FEMININO,1.0
200531,2022Q3,Manica,Cidade de Chimoio,g9AT6oQ6Uoi,CS Nhamaonha,UBe2SLdSmxV,Nhamaonha CS,ECHO_PREP_CT_30_34_FEMININO,4.0
398330,2022Q3,Manica,Cidade de Chimoio,lR0tDnUzHdB,CS Vila Nova,KxEa3dXzAYv,Vila Nova CS,ECHO_PREP_CT_30_34_FEMININO,7.0
200522,2022Q3,Manica,Cidade de Chimoio,aUtB6n9lhl4,CS Chissui,IJwB2CRmy7D,Chissui CS,ECHO_PREP_CT_30_34_FEMININO,4.0
201696,2022Q3,Manica,Cidade de Chimoio,SKLMPC7qDwD,CS 7 de Abril,DfdvXXyNSoV,7 de Abril CS,ECHO_PREP_CT_30_34_FEMININO,15.0
200525,2022Q3,Manica,Cidade de Chimoio,nT0RSdagl3c,CS Eduardo Mondlane,rlAmYWNUTnR,Eduardo Mondlane CS,ECHO_PREP_CT_30_34_FEMININO,6.0
200499,2022Q3,Manica,Cidade de Chimoio,ZPCgEihjMiy,CS 1 Âº de Maio,l7dBO27dhA6,1º Maio CS,ECHO_PREP_CT_30_34_FEMININO,11.0
200517,2022Q3,Manica,Sussundenga,hzMMspjctBN,CS Sussundenga-Sede,RovRnV9RWFd,Sussundenga CS,ECHO_PREP_CT_30_34_FEMININO,2.0
200549,2022Q3,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,ECHO_PREP_CT_35_39_FEMININO,5.0
200521,2022Q3,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,ECHO_PREP_CT_35_39_FEMININO,1.0
200936,2022Q3,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,ECHO_PREP_CT_35_39_FEMININO,13.0
200524,2022Q3,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,ECHO_PREP_CT_35_39_FEMININO,2.0
200552,2022Q3,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,ECHO_PREP_CT_35_39_FEMININO,5.0
200532,2022Q3,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,ECHO_PREP_CT_35_39_FEMININO,0.0
200536,2022Q3,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,ECHO_PREP_CT_35_39_FEMININO,7.0
200557,2022Q3,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,ECHO_PREP_CT_35_39_FEMININO,1.0
200566,2022Q3,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,ECHO_PREP_CT_35_39_FEMININO,8.0
200939,2022Q3,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,ECHO_PREP_CT_35_39_FEMININO,15.0
200528,2022Q3,Manica,Manica,XUfVdKbiMwL,CS Messica,gVZ58EQOH6K,Messica CS,ECHO_PREP_CT_35_39_FEMININO,3.0
200563,2022Q3,Manica,Manica,hPqiPGsEYv5,CS Machipanda,RiIZqF2hfqY,Machipanda CS,ECHO_PREP_CT_35_39_FEMININO,8.0
200938,2022Q3,Manica,Manica,lT5Qs9ETV9s,HD Manica,KjMGcLd3XXd,Manica HD,ECHO_PREP_CT_35_39_FEMININO,11.0
338288,2022Q3,Manica,Manica,rfn0xX7liVL,CS 4Âº Congresso,DAcTRfO0CNG,4º Congresso CS,ECHO_PREP_CT_35_39_FEMININO,0.0
200500,2022Q3,Manica,Gondola,JlUMz2rDy1g,CS Inchope,bifefa8JnfN,Inchope CS,ECHO_PREP_CT_35_39_FEMININO,16.0
200937,2022Q3,Manica,Gondola,pELuhX7Rgup,CS Gondola Sede,awoAlwC06Go,Gondola Sede CS,ECHO_PREP_CT_35_39_FEMININO,7.0
200527,2022Q3,Manica,Gondola,L7TkArEzSdW,CS Amatongas,e2cMNKCnHOw,Amatongas CS,ECHO_PREP_CT_35_39_FEMININO,1.0
200502,2022Q3,Manica,Gondola,UzFYRpkVqN2,CS Muda SerraÃ§Ã£o,xfxtwRZ7Ejp,Muda Serração CS,ECHO_PREP_CT_35_39_FEMININO,1.0
200531,2022Q3,Manica,Cidade de Chimoio,g9AT6oQ6Uoi,CS Nhamaonha,UBe2SLdSmxV,Nhamaonha CS,ECHO_PREP_CT_35_39_FEMININO,1.0
398330,2022Q3,Manica,Cidade de Chimoio,lR0tDnUzHdB,CS Vila Nova,KxEa3dXzAYv,Vila Nova CS,ECHO_PREP_CT_35_39_FEMININO,3.0
200522,2022Q3,Manica,Cidade de Chimoio,aUtB6n9lhl4,CS Chissui,IJwB2CRmy7D,Chissui CS,ECHO_PREP_CT_35_39_FEMININO,2.0
201696,2022Q3,Manica,Cidade de Chimoio,SKLMPC7qDwD,CS 7 de Abril,DfdvXXyNSoV,7 de Abril CS,ECHO_PREP_CT_35_39_FEMININO,5.0
200525,2022Q3,Manica,Cidade de Chimoio,nT0RSdagl3c,CS Eduardo Mondlane,rlAmYWNUTnR,Eduardo Mondlane CS,ECHO_PREP_CT_35_39_FEMININO,
200499,2022Q3,Manica,Cidade de Chimoio,ZPCgEihjMiy,CS 1 Âº de Maio,l7dBO27dhA6,1º Maio CS,ECHO_PREP_CT_35_39_FEMININO,9.0
200517,2022Q3,Manica,Sussundenga,hzMMspjctBN,CS Sussundenga-Sede,RovRnV9RWFd,Sussundenga CS,ECHO_PREP_CT_35_39_FEMININO,1.0
200549,2022Q3,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,ECHO_PREP_CT_40_44_FEMININO,3.0
200521,2022Q3,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,ECHO_PREP_CT_40_44_FEMININO,1.0
200936,2022Q3,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,ECHO_PREP_CT_40_44_FEMININO,13.0
200524,2022Q3,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,ECHO_PREP_CT_40_44_FEMININO,
200552,2022Q3,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,ECHO_PREP_CT_40_44_FEMININO,6.0
200532,2022Q3,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,ECHO_PREP_CT_40_44_FEMININO,0.0
200536,2022Q3,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,ECHO_PREP_CT_40_44_FEMININO,5.0
200557,2022Q3,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,ECHO_PREP_CT_40_44_FEMININO,0.0
200566,2022Q3,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,ECHO_PREP_CT_40_44_FEMININO,5.0
200939,2022Q3,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,ECHO_PREP_CT_40_44_FEMININO,5.0
200528,2022Q3,Manica,Manica,XUfVdKbiMwL,CS Messica,gVZ58EQOH6K,Messica CS,ECHO_PREP_CT_40_44_FEMININO,3.0
200563,2022Q3,Manica,Manica,hPqiPGsEYv5,CS Machipanda,RiIZqF2hfqY,Machipanda CS,ECHO_PREP_CT_40_44_FEMININO,2.0
200938,2022Q3,Manica,Manica,lT5Qs9ETV9s,HD Manica,KjMGcLd3XXd,Manica HD,ECHO_PREP_CT_40_44_FEMININO,0.0
338288,2022Q3,Manica,Manica,rfn0xX7liVL,CS 4Âº Congresso,DAcTRfO0CNG,4º Congresso CS,ECHO_PREP_CT_40_44_FEMININO,0.0
200500,2022Q3,Manica,Gondola,JlUMz2rDy1g,CS Inchope,bifefa8JnfN,Inchope CS,ECHO_PREP_CT_40_44_FEMININO,8.0
200937,2022Q3,Manica,Gondola,pELuhX7Rgup,CS Gondola Sede,awoAlwC06Go,Gondola Sede CS,ECHO_PREP_CT_40_44_FEMININO,3.0
200527,2022Q3,Manica,Gondola,L7TkArEzSdW,CS Amatongas,e2cMNKCnHOw,Amatongas CS,ECHO_PREP_CT_40_44_FEMININO,3.0
200502,2022Q3,Manica,Gondola,UzFYRpkVqN2,CS Muda SerraÃ§Ã£o,xfxtwRZ7Ejp,Muda Serração CS,ECHO_PREP_CT_40_44_FEMININO,0.0
200531,2022Q3,Manica,Cidade de Chimoio,g9AT6oQ6Uoi,CS Nhamaonha,UBe2SLdSmxV,Nhamaonha CS,ECHO_PREP_CT_40_44_FEMININO,1.0
398330,2022Q3,Manica,Cidade de Chimoio,lR0tDnUzHdB,CS Vila Nova,KxEa3dXzAYv,Vila Nova CS,ECHO_PREP_CT_40_44_FEMININO,5.0
200522,2022Q3,Manica,Cidade de Chimoio,aUtB6n9lhl4,CS Chissui,IJwB2CRmy7D,Chissui CS,ECHO_PREP_CT_40_44_FEMININO,1.0
201696,2022Q3,Manica,Cidade de Chimoio,SKLMPC7qDwD,CS 7 de Abril,DfdvXXyNSoV,7 de Abril CS,ECHO_PREP_CT_40_44_FEMININO,4.0
200525,2022Q3,Manica,Cidade de Chimoio,nT0RSdagl3c,CS Eduardo Mondlane,rlAmYWNUTnR,Eduardo Mondlane CS,ECHO_PREP_CT_40_44_FEMININO,1.0
200499,2022Q3,Manica,Cidade de Chimoio,ZPCgEihjMiy,CS 1 Âº de Maio,l7dBO27dhA6,1º Maio CS,ECHO_PREP_CT_40_44_FEMININO,9.0
200517,2022Q3,Manica,Sussundenga,hzMMspjctBN,CS Sussundenga-Sede,RovRnV9RWFd,Sussundenga CS,ECHO_PREP_CT_40_44_FEMININO,1.0
200549,2022Q3,Manica,Barue,GsYcZ9h9BUK,CS Nhassacara,Z6ZZLw50mAM,Nhassacara CS,ECHO_PREP_CT_45_49_FEMININO,0.0
200521,2022Q3,Manica,Barue,d3aFvsvQ7O2,CS Nhazonia,Nv5WX50ktwr,Nhazonia CS,ECHO_PREP_CT_45_49_FEMININO,0.0
200936,2022Q3,Manica,Barue,omMGWeMjO27,HD Catandica,qiBueINJbti,Catandica HD,ECHO_PREP_CT_45_49_FEMININO,1.0
200524,2022Q3,Manica,Barue,xpFEJzy6IXt,CS Nhampassa,VSHfWQyhzUu,Nhampassa CS,ECHO_PREP_CT_45_49_FEMININO,
200552,2022Q3,Manica,Guro,X8TLq4JNXju,CS Guro-Sede,VsFXXXagVmp,Guro - Sede CS,ECHO_PREP_CT_45_49_FEMININO,3.0
200532,2022Q3,Manica,Vanduzi,goKXBs7N5B8,CS IAC,yIcfnuZhejK,IAC CS,ECHO_PREP_CT_45_49_FEMININO,0.0
200536,2022Q3,Manica,Machaze,e3XMm8h8pJ3,CS Chitobe,FmAQ159jI3w,Chitobe CS,ECHO_PREP_CT_45_49_FEMININO,5.0
200557,2022Q3,Manica,Machaze,HZVnPphSXDJ,CS Save,ZifoCg4OvIj,Save CS,ECHO_PREP_CT_45_49_FEMININO,0.0
200566,2022Q3,Manica,Mossurize,pdtUKo1EQzR,CS Dacata,yYG52aLO1GK,Dacata CS,ECHO_PREP_CT_45_49_FEMININO,1.0
200939,2022Q3,Manica,Mossurize,A4fQVrJD7Zd,HD Espungabera,ZrUjQFzR1gM,Espungabera CS,ECHO_PREP_CT_45_49_FEMININO,2.0
200528,2022Q3,Manica,Manica,XUfVdKbiMwL,CS Messica,gVZ58EQOH6K,Messica CS,ECHO_PREP_CT_45_49_FEMININO,0.0
